pais,region,subregion,continente
South Georgia,Antarctic,,Antarctica
Turkmenistan,Asia,Central Asia,Asia
Guadeloupe,Americas,Caribbean,North America
Dominica,Americas,Caribbean,North America
Solomon Islands,Oceania,Melanesia,Oceania
Saint Pierre and Miquelon,Americas,North America,North America
Rwanda,Africa,Eastern Africa,Africa
Norfolk Island,Oceania,Australia and New Zealand,Oceania
Panama,Americas,Central America,North America
Bahamas,Americas,Caribbean,North America
Tokelau,Oceania,Polynesia,Oceania
Montenegro,Europe,Southeast Europe,Europe
Åland Islands,Europe,Northern Europe,Europe
Niue,Oceania,Polynesia,Oceania
Argentina,Americas,South America,South America
Cuba,Americas,Caribbean,North America
Cayman Islands,Americas,Caribbean,North America
Kazakhstan,Asia,Central Asia,Asia
Russia,Europe,Eastern Europe,"Europe, Asia"
India,Asia,Southern Asia,Asia
British Virgin Islands,Americas,Caribbean,North America
Guam,Oceania,Micronesia,Oceania
Myanmar,Asia,South-Eastern Asia,Asia
DR Congo,Africa,Middle Africa,Africa
Mauritius,Africa,Eastern Africa,Africa
Falkland Islands,Americas,South America,South America
Northern Mariana Islands,Oceania,Micronesia,Oceania
Ukraine,Europe,Eastern Europe,Europe
Monaco,Europe,Western Europe,Europe
Tajikistan,Asia,Central Asia,Asia
Malaysia,Asia,South-Eastern Asia,Asia
Somalia,Africa,Eastern Africa,Africa
Antigua and Barbuda,Americas,Caribbean,North America
Central African Republic,Africa,Middle Africa,Africa
Macau,Asia,Eastern Asia,Asia
Israel,Asia,Western Asia,Asia
Nigeria,Africa,Western Africa,Africa
Honduras,Americas,Central America,North America
Sierra Leone,Africa,Western Africa,Africa
Tunisia,Africa,Northern Africa,Africa
Lithuania,Europe,Northern Europe,Europe
Iraq,Asia,Western Asia,Asia
Switzerland,Europe,Western Europe,Europe
Chile,Americas,South America,South America
Taiwan,Asia,Eastern Asia,Asia
Vietnam,Asia,South-Eastern Asia,Asia
Bangladesh,Asia,Southern Asia,Asia
Vanuatu,Oceania,Melanesia,Oceania
Pakistan,Asia,Southern Asia,Asia
Latvia,Europe,Northern Europe,Europe
Malta,Europe,Southern Europe,Europe
Seychelles,Africa,Eastern Africa,Africa
Montserrat,Americas,Caribbean,North America
Anguilla,Americas,Caribbean,North America
Greece,Europe,Southern Europe,Europe
Czechia,Europe,Central Europe,Europe
Zambia,Africa,Eastern Africa,Africa
Hong Kong,Asia,Eastern Asia,Asia
United States,Americas,North America,North America
Eswatini,Africa,Southern Africa,Africa
Slovenia,Europe,Central Europe,Europe
Caribbean Netherlands,Americas,Caribbean,North America
Maldives,Asia,Southern Asia,Asia
Ghana,Africa,Western Africa,Africa
Paraguay,Americas,South America,South America
Mozambique,Africa,Eastern Africa,Africa
Palestine,Asia,Western Asia,Asia
Moldova,Europe,Eastern Europe,Europe
Liberia,Africa,Western Africa,Africa
Liechtenstein,Europe,Western Europe,Europe
Peru,Americas,South America,South America
Qatar,Asia,Western Asia,Asia
Christmas Island,Oceania,Australia and New Zealand,Asia
Georgia,Asia,Western Asia,Asia
Ecuador,Americas,South America,South America
Philippines,Asia,South-Eastern Asia,Asia
Ethiopia,Africa,Eastern Africa,Africa
United States Virgin Islands,Americas,Caribbean,North America
Syria,Asia,Western Asia,Asia
Romania,Europe,Southeast Europe,Europe
Guatemala,Americas,Central America,North America
Nepal,Asia,Southern Asia,Asia
Réunion,Africa,Eastern Africa,Africa
Benin,Africa,Western Africa,Africa
Kuwait,Asia,Western Asia,Asia
Suriname,Americas,South America,South America
New Caledonia,Oceania,Melanesia,Oceania
Sudan,Africa,Northern Africa,Africa
United States Minor Outlying Islands,Americas,North America,Oceania
Chad,Africa,Middle Africa,Africa
Uruguay,Americas,South America,South America
Bosnia and Herzegovina,Europe,Southeast Europe,Europe
Trinidad and Tobago,Americas,Caribbean,North America
Sweden,Europe,Northern Europe,Europe
Iceland,Europe,Northern Europe,Europe
Haiti,Americas,Caribbean,North America
Brunei,Asia,South-Eastern Asia,Asia
French Southern and Antarctic Lands,Antarctic,,Antarctica
Guernsey,Europe,Northern Europe,Europe
Croatia,Europe,Southeast Europe,Europe
Saint Barthélemy,Americas,Caribbean,North America
Mongolia,Asia,Eastern Asia,Asia
Aruba,Americas,Caribbean,North America
Republic of the Congo,Africa,Middle Africa,Africa
São Tomé and Príncipe,Africa,Middle Africa,Africa
Yemen,Asia,Western Asia,Asia
Equatorial Guinea,Africa,Middle Africa,Africa
Svalbard and Jan Mayen,Europe,Northern Europe,Europe
Colombia,Americas,South America,South America
Guinea-Bissau,Africa,Western Africa,Africa
Kiribati,Oceania,Micronesia,Oceania
Germany,Europe,Western Europe,Europe
Thailand,Asia,South-Eastern Asia,Asia
Isle of Man,Europe,Northern Europe,Europe
Bhutan,Asia,Southern Asia,Asia
Gabon,Africa,Middle Africa,Africa
Sint Maarten,Americas,Caribbean,North America
Sri Lanka,Asia,Southern Asia,Asia
Albania,Europe,Southeast Europe,Europe
New Zealand,Oceania,Australia and New Zealand,Oceania
Algeria,Africa,Northern Africa,Africa
San Marino,Europe,Southern Europe,Europe
Micronesia,Oceania,Micronesia,Oceania
"Saint Helena, Ascension and Tristan da Cunha",Africa,Western Africa,Africa
Curaçao,Americas,Caribbean,North America
El Salvador,Americas,Central America,North America
Martinique,Americas,Caribbean,North America
Nauru,Oceania,Micronesia,Oceania
Vatican City,Europe,Southern Europe,Europe
Grenada,Americas,Caribbean,North America
Tonga,Oceania,Polynesia,Oceania
Burundi,Africa,Eastern Africa,Africa
Samoa,Oceania,Polynesia,Oceania
Denmark,Europe,Northern Europe,Europe
Venezuela,Americas,South America,South America
Austria,Europe,Central Europe,Europe
Slovakia,Europe,Central Europe,Europe
China,Asia,Eastern Asia,Asia
British Indian Ocean Territory,Africa,Eastern Africa,Asia
French Polynesia,Oceania,Polynesia,Oceania
Bolivia,Americas,South America,South America
Antarctica,Antarctic,,Antarctica
Libya,Africa,Northern Africa,Africa
Estonia,Europe,Northern Europe,Europe
Cook Islands,Oceania,Polynesia,Oceania
Puerto Rico,Americas,Caribbean,North America
Belarus,Europe,Eastern Europe,Europe
Faroe Islands,Europe,Northern Europe,Europe
Saint Vincent and the Grenadines,Americas,Caribbean,North America
Dominican Republic,Americas,Caribbean,North America
Hungary,Europe,Central Europe,Europe
Bahrain,Asia,Western Asia,Asia
Cameroon,Africa,Middle Africa,Africa
Canada,Americas,North America,North America
Eritrea,Africa,Eastern Africa,Africa
Singapore,Asia,South-Eastern Asia,Asia
Costa Rica,Americas,Central America,North America
Serbia,Europe,Southeast Europe,Europe
Poland,Europe,Central Europe,Europe
Jordan,Asia,Western Asia,Asia
