numero_orden,fecha_orden,codigo_producto,cantidad_pedida,precio_unitario,ventas,pais,linea_producto,tamano_venta,producto_id,cliente_id,anio,mes
10223,2004-02-20,S10_2016,47,100.0,5422.39,Australia,Motorcycles,Medium,3,32,2004,2
10236,2004-04-03,S10_2016,22,100.0,2852.08,United States,Motorcycles,Small,3,86,2004,4
10251,2004-05-18,S10_2016,44,100.0,5756.52,United States,Motorcycles,Medium,3,94,2004,5
10263,2004-06-28,S10_2016,40,100.0,4472.0,United States,Motorcycles,Medium,3,99,2004,6
10275,2004-07-23,S10_2016,22,100.0,2904.44,France,Motorcycles,Small,3,46,2004,7
10285,2004-08-27,S10_2016,47,100.0,6484.59,United States,Motorcycles,Medium,3,86,2004,8
10298,2004-09-27,S10_2016,39,96.34,3757.26,France,Motorcycles,Medium,3,57,2004,9
10308,2004-10-15,S10_2016,34,100.0,4043.96,United States,Motorcycles,Medium,3,99,2004,10
10318,2004-11-02,S10_2016,45,100.0,5566.5,United States,Motorcycles,Medium,3,69,2004,11
10329,2004-11-15,S10_2016,20,100.0,3176.0,United States,Motorcycles,Medium,3,86,2004,11
10339,2004-11-23,S10_2016,40,68.92,2756.8,Japan,Motorcycles,Small,3,75,2004,11
10361,2004-12-17,S10_2016,26,51.15,1329.9,Australia,Motorcycles,Small,3,62,2004,12
10374,2005-02-02,S10_2016,39,100.0,5288.01,Australia,Motorcycles,Medium,3,32,2005,2
10388,2005-03-03,S10_2016,50,44.51,2225.5,United States,Motorcycles,Small,3,86,2005,3
10402,2005-04-07,S10_2016,45,100.0,5833.8,France,Motorcycles,Medium,3,12,2005,4
10417,2005-05-13,S10_2016,45,100.0,5887.35,Spain,Motorcycles,Medium,3,91,2005,5
10107,2003-02-24,S10_4698,27,100.0,6065.55,United States,Motorcycles,Medium,4,69,2003,2
10120,2003-04-29,S10_4698,46,100.0,9264.86,Australia,Motorcycles,Large,4,62,2003,4
10134,2003-07-01,S10_4698,31,100.0,7023.98,France,Motorcycles,Large,4,57,2003,7
10145,2003-08-25,S10_4698,33,100.0,5176.38,United States,Motorcycles,Medium,4,99,2003,8
10159,2003-10-10,S10_4698,22,100.0,4132.7,United States,Motorcycles,Medium,4,69,2003,10
10168,2003-10-28,S10_4698,20,100.0,4183.0,United States,Motorcycles,Medium,4,86,2003,10
10180,2003-11-11,S10_4698,41,100.0,8892.9,France,Motorcycles,Large,4,46,2003,11
10188,2003-11-18,S10_4698,45,100.0,8714.7,Norway,Motorcycles,Large,4,76,2003,11
10201,2003-12-01,S10_4698,49,100.0,8065.89,United States,Motorcycles,Large,4,69,2003,12
10210,2004-01-12,S10_4698,34,100.0,6123.4,Japan,Motorcycles,Medium,4,90,2004,1
10223,2004-02-20,S10_4698,49,100.0,9774.03,Australia,Motorcycles,Large,4,32,2004,2
10237,2004-04-05,S10_4698,39,100.0,7023.9,United States,Motorcycles,Large,4,99,2004,4
10251,2004-05-18,S10_4698,43,100.0,7078.23,United States,Motorcycles,Large,4,69,2004,5
10263,2004-06-28,S10_4698,41,100.0,8336.94,United States,Motorcycles,Large,4,86,2004,6
10275,2004-07-23,S10_4698,36,100.0,6901.92,France,Motorcycles,Medium,4,57,2004,7
10285,2004-08-27,S10_4698,27,100.0,5438.07,United States,Motorcycles,Medium,4,99,2004,8
10299,2004-09-30,S10_4698,29,100.0,6683.34,Finland,Motorcycles,Medium,4,21,2004,9
10308,2004-10-15,S10_4698,20,100.0,4570.4,United States,Motorcycles,Medium,4,86,2004,10
10318,2004-11-02,S10_4698,37,100.0,7667.14,United States,Motorcycles,Large,4,94,2004,11
10329,2004-11-15,S10_4698,26,100.0,5868.2,United States,Motorcycles,Medium,4,99,2004,11
10339,2004-11-23,S10_4698,39,76.67,2990.13,Japan,Motorcycles,Small,4,1,2004,11
10362,2005-01-05,S10_4698,22,100.0,3664.1,United States,Motorcycles,Medium,4,86,2005,1
10374,2005-02-02,S10_4698,22,100.0,3834.38,Australia,Motorcycles,Medium,4,32,2005,2
10388,2005-03-03,S10_4698,21,86.77,1822.17,United States,Motorcycles,Small,4,99,2005,3
10403,2005-04-08,S10_4698,66,100.0,11886.6,United Kingdom,Motorcycles,Large,4,89,2005,4
10417,2005-05-13,S10_4698,56,100.0,9218.16,Spain,Motorcycles,Large,4,29,2005,5
10105,2003-02-11,S10_4757,50,100.0,7208.0,Denmark,Classic Cars,Large,5,7,2003,2
10119,2003-04-28,S10_4757,46,100.0,5004.8,Austria,Classic Cars,Medium,5,8,2003,4
10129,2003-06-12,S10_4757,33,100.0,4398.24,United Kingdom,Classic Cars,Medium,5,41,2003,6
10143,2003-08-10,S10_4757,49,100.0,5597.76,United States,Classic Cars,Medium,5,86,2003,8
10155,2003-10-06,S10_4757,32,100.0,4526.08,Finland,Classic Cars,Medium,5,2,2003,10
10167,2003-10-23,S10_4757,44,100.0,5924.16,Sweden,Classic Cars,Medium,5,12,2003,10
10178,2003-11-08,S10_4757,24,100.0,3492.48,France,Classic Cars,Medium,5,57,2003,11
10186,2003-11-14,S10_4757,26,100.0,3854.24,United Kingdom,Classic Cars,Medium,5,26,2003,11
10197,2003-11-26,S10_4757,45,100.0,5324.4,Spain,Classic Cars,Medium,5,75,2003,11
10209,2004-01-09,S10_4757,39,100.0,5197.92,United States,Classic Cars,Medium,5,99,2004,1
10222,2004-02-19,S10_4757,49,100.0,5997.6,United States,Classic Cars,Medium,5,69,2004,2
10248,2004-05-07,S10_4757,20,100.0,2910.4,United States,Classic Cars,Small,5,86,2004,5
10261,2004-06-17,S10_4757,27,100.0,3378.24,Canada,Classic Cars,Medium,5,63,2004,6
10273,2004-07-21,S10_4757,30,100.0,3508.8,Belgium,Classic Cars,Medium,5,20,2004,7
10283,2004-08-20,S10_4757,25,100.0,2992.0,Canada,Classic Cars,Small,5,42,2004,8
10295,2004-09-10,S10_4757,24,100.0,3427.2,United States,Classic Cars,Medium,5,86,2004,9
10307,2004-10-14,S10_4757,22,100.0,2692.8,United States,Classic Cars,Small,5,94,2004,10
10316,2004-11-01,S10_4757,33,100.0,4128.96,United Kingdom,Classic Cars,Medium,5,52,2004,11
10325,2004-11-05,S10_4757,47,64.93,3051.71,Norway,Classic Cars,Medium,5,81,2004,11
10337,2004-11-21,S10_4757,25,48.05,1201.25,United States,Classic Cars,Small,5,86,2004,11
10350,2004-12-02,S10_4757,26,75.47,1962.22,Spain,Classic Cars,Small,5,75,2004,12
10359,2004-12-15,S10_4757,48,54.68,2624.64,France,Classic Cars,Small,5,38,2004,12
10373,2005-01-31,S10_4757,39,100.0,4046.25,Finland,Classic Cars,Medium,5,87,2005,1
10384,2005-02-23,S10_4757,34,100.0,4846.7,United States,Classic Cars,Medium,5,86,2005,2
10395,2005-03-17,S10_4757,32,100.0,3370.56,France,Classic Cars,Medium,5,57,2005,3
10400,2005-04-01,S10_4757,64,100.0,9661.44,United States,Classic Cars,Large,5,99,2005,4
10414,2005-05-06,S10_4757,19,100.0,2764.88,United States,Classic Cars,Small,5,69,2005,5
10103,2003-01-29,S10_4962,42,100.0,5398.26,Norway,Classic Cars,Medium,6,80,2003,1
10114,2003-04-01,S10_4962,31,100.0,4305.28,France,Classic Cars,Medium,6,46,2003,4
10126,2003-05-28,S10_4962,22,100.0,3347.74,Spain,Classic Cars,Medium,6,91,2003,5
10140,2003-07-24,S10_4962,26,100.0,3188.12,United States,Classic Cars,Medium,6,69,2003,7
10150,2003-09-19,S10_4962,20,100.0,3191.2,Singapore,Classic Cars,Medium,6,38,2003,9
10164,2003-10-21,S10_4962,21,100.0,3536.82,Austria,Classic Cars,Medium,6,39,2003,10
10175,2003-11-06,S10_4962,33,100.0,5362.83,United Kingdom,Classic Cars,Medium,6,89,2003,11
10183,2003-11-13,S10_4962,28,100.0,3433.36,United States,Classic Cars,Medium,6,69,2003,11
10194,2003-11-25,S10_4962,26,100.0,4263.74,France,Classic Cars,Medium,6,51,2003,11
10207,2003-12-09,S10_4962,31,100.0,4076.19,United States,Classic Cars,Medium,6,94,2003,12
10217,2004-02-04,S10_4962,48,100.0,7020.48,Singapore,Classic Cars,Large,6,44,2004,2
10229,2004-03-11,S10_4962,50,100.0,6426.5,United States,Classic Cars,Medium,6,69,2004,3
10245,2004-05-04,S10_4962,28,100.0,4591.72,United States,Classic Cars,Medium,6,86,2004,5
10259,2004-06-15,S10_4962,26,100.0,4033.38,Singapore,Classic Cars,Medium,6,47,2004,6
10270,2004-07-19,S10_4962,32,100.0,4302.08,Australia,Classic Cars,Medium,6,62,2004,7
10281,2004-08-19,S10_4962,44,100.0,7020.64,United States,Classic Cars,Large,6,69,2004,8
10291,2004-09-08,S10_4962,30,100.0,3855.9,Sweden,Classic Cars,Medium,6,50,2004,9
10305,2004-10-13,S10_4962,38,100.0,6680.78,United States,Classic Cars,Medium,6,94,2004,10
10313,2004-10-22,S10_4962,40,100.0,6678.0,Canada,Classic Cars,Medium,6,85,2004,10
10322,2004-11-04,S10_4962,46,61.99,2851.54,United States,Classic Cars,Small,6,69,2004,11
10334,2004-11-19,S10_4962,26,100.0,3188.12,Sweden,Classic Cars,Medium,6,54,2004,11
10347,2004-11-29,S10_4962,27,100.0,4428.0,Australia,Classic Cars,Medium,6,32,2004,11
10357,2004-12-10,S10_4962,43,100.0,5780.92,United States,Classic Cars,Medium,6,99,2004,12
10370,2005-01-20,S10_4962,35,65.63,2297.05,Australia,Classic Cars,Small,6,32,2005,1
10381,2005-02-17,S10_4962,37,100.0,6231.54,United States,Classic Cars,Medium,6,86,2005,2
10391,2005-03-09,S10_4962,37,46.9,1735.3,Australia,Classic Cars,Small,6,32,2005,3
10411,2005-05-01,S10_4962,27,100.0,4427.73,Canada,Classic Cars,Medium,6,85,2005,5
10425,2005-05-31,S10_4962,38,100.0,5894.94,France,Classic Cars,Medium,6,57,2005,5
10108,2003-03-03,S12_1099,33,100.0,5265.15,Philippines,Classic Cars,Medium,7,62,2003,3
10122,2003-05-08,S12_1099,42,100.0,7599.9,France,Classic Cars,Large,7,12,2003,5
10135,2003-07-02,S12_1099,42,100.0,8008.56,United States,Classic Cars,Large,7,99,2003,7
10147,2003-09-05,S12_1099,48,100.0,9245.76,United States,Classic Cars,Large,7,69,2003,9
10159,2003-10-10,S12_1099,41,100.0,8296.35,United States,Classic Cars,Large,7,86,2003,10
10169,2003-11-04,S12_1099,30,100.0,5019.9,Australia,Classic Cars,Medium,7,32,2003,11
10181,2003-11-12,S12_1099,27,100.0,5411.07,Norway,Classic Cars,Medium,7,76,2003,11
10191,2003-11-20,S12_1099,21,100.0,3840.9,Germany,Classic Cars,Medium,7,9,2003,11
10203,2003-12-02,S12_1099,20,100.0,3930.4,Spain,Classic Cars,Medium,7,29,2003,12
10211,2004-01-15,S12_1099,41,100.0,7498.9,France,Classic Cars,Large,7,46,2004,1
10225,2004-02-22,S12_1099,27,100.0,4517.91,Switzerland,Classic Cars,Medium,7,68,2004,2
10238,2004-04-09,S12_1099,28,100.0,5774.72,Denmark,Classic Cars,Medium,7,7,2004,4
10253,2004-06-01,S12_1099,24,100.0,3922.56,United Kingdom,Classic Cars,Medium,7,54,2004,6
10266,2004-07-06,S12_1099,44,100.0,9160.36,Italy,Classic Cars,Large,7,75,2004,7
10276,2004-08-02,S12_1099,50,100.0,9631.0,United States,Classic Cars,Large,7,99,2004,8
10287,2004-08-30,S12_1099,21,100.0,3432.24,Switzerland,Classic Cars,Medium,7,40,2004,8
10300,2003-10-04,S12_1099,33,100.0,5521.89,Germany,Classic Cars,Medium,7,36,2003,10
10310,2004-10-16,S12_1099,33,100.0,6934.62,Germany,Classic Cars,Medium,7,45,2004,10
10320,2004-11-03,S12_1099,31,100.0,6876.11,Sweden,Classic Cars,Medium,7,80,2004,11
10329,2004-11-15,S12_1099,41,71.47,2930.27,United States,Classic Cars,Small,7,69,2004,11
10341,2004-11-24,S12_1099,45,79.65,3584.25,Austria,Classic Cars,Medium,7,82,2004,11
10363,2005-01-06,S12_1099,33,85.39,2817.87,Finland,Classic Cars,Small,7,71,2005,1
10375,2005-02-03,S12_1099,45,76.0,3420.0,France,Classic Cars,Medium,7,51,2005,2
10389,2005-03-03,S12_1099,26,99.04,2575.04,Sweden,Classic Cars,Small,7,85,2005,3
10419,2005-05-17,S12_1099,12,100.0,1961.28,Austria,Classic Cars,Small,7,86,2005,5
10105,2003-02-11,S12_1108,41,100.0,8690.36,Denmark,Classic Cars,Large,8,7,2003,2
10117,2003-04-16,S12_1108,33,100.0,6034.38,Singapore,Classic Cars,Medium,8,88,2003,4
10127,2003-06-03,S12_1108,46,100.0,11279.2,United States,Classic Cars,Large,8,69,2003,6
10142,2003-08-08,S12_1108,33,100.0,8023.29,United States,Classic Cars,Large,8,86,2003,8
10153,2003-09-28,S12_1108,20,100.0,4904.0,Spain,Classic Cars,Medium,8,75,2003,9
10165,2003-10-22,S12_1108,44,100.0,8594.52,Singapore,Classic Cars,Large,8,92,2003,10
10176,2003-11-06,S12_1108,33,100.0,7474.5,Italy,Classic Cars,Large,8,93,2003,11
10185,2003-11-14,S12_1108,21,100.0,3883.74,United States,Classic Cars,Medium,8,86,2003,11
10196,2003-11-26,S12_1108,47,100.0,8887.7,United States,Classic Cars,Large,8,94,2003,11
10208,2004-01-02,S12_1108,46,100.0,8602.92,France,Classic Cars,Large,8,51,2004,1
10220,2004-02-12,S12_1108,32,100.0,7181.44,Ireland,Classic Cars,Large,8,16,2004,2
10231,2004-03-19,S12_1108,42,100.0,8378.58,Spain,Classic Cars,Large,8,29,2004,3
10247,2004-05-05,S12_1108,44,100.0,10606.2,Finland,Classic Cars,Large,8,87,2004,5
10272,2004-07-20,S12_1108,35,100.0,5818.4,United States,Classic Cars,Medium,8,99,2004,7
10282,2004-08-20,S12_1108,41,100.0,7071.27,United States,Classic Cars,Large,8,69,2004,8
10293,2004-09-09,S12_1108,46,100.0,8411.56,Italy,Classic Cars,Large,8,2,2004,9
10306,2004-10-14,S12_1108,31,100.0,6570.76,United Kingdom,Classic Cars,Medium,8,89,2004,10
10314,2004-10-22,S12_1108,38,100.0,7975.44,Denmark,Classic Cars,Large,8,93,2004,10
10325,2004-11-05,S12_1108,42,64.0,2688.0,Norway,Classic Cars,Small,8,81,2004,11
10336,2004-11-20,S12_1108,33,57.22,1888.26,France,Classic Cars,Small,8,38,2004,11
10348,2004-11-01,S12_1108,48,52.36,2513.28,Spain,Classic Cars,Small,8,75,2004,11
10359,2004-12-15,S12_1108,42,100.0,4764.48,France,Classic Cars,Medium,8,51,2004,12
10371,2005-01-23,S12_1108,32,100.0,3560.64,United States,Classic Cars,Medium,8,69,2005,1
10382,2005-02-17,S12_1108,34,100.0,3823.64,United States,Classic Cars,Medium,8,86,2005,2
10395,2005-03-17,S12_1108,33,69.12,2280.96,France,Classic Cars,Small,8,12,2005,3
10413,2005-05-05,S12_1108,36,100.0,8677.8,United States,Classic Cars,Large,8,99,2005,5
10103,2003-01-29,S12_1666,27,100.0,3394.98,Norway,Trucks and Buses,Medium,9,76,2003,1
10113,2003-03-26,S12_1666,21,100.0,3415.44,United States,Trucks and Buses,Medium,9,86,2003,3
10126,2003-05-28,S12_1666,21,100.0,2439.57,Spain,Trucks and Buses,Small,9,75,2003,5
10140,2003-07-24,S12_1666,38,100.0,4829.8,United States,Trucks and Buses,Medium,9,99,2003,7
10150,2003-09-19,S12_1666,30,100.0,4100.1,Singapore,Trucks and Buses,Medium,9,17,2003,9
10164,2003-10-21,S12_1666,49,100.0,6563.06,Austria,Trucks and Buses,Medium,9,18,2003,10
10174,2003-11-06,S12_1666,43,100.0,6817.22,Australia,Trucks and Buses,Medium,9,32,2003,11
10183,2003-11-13,S12_1666,41,100.0,6163.94,United States,Trucks and Buses,Medium,9,99,2003,11
10194,2003-11-25,S12_1666,38,100.0,4933.92,France,Trucks and Buses,Medium,9,57,2003,11
10206,2003-12-05,S12_1666,28,100.0,4056.36,Canada,Trucks and Buses,Medium,9,50,2003,12
10216,2004-02-02,S12_1666,43,100.0,5759.42,France,Trucks and Buses,Medium,9,12,2004,2
10229,2004-03-11,S12_1666,25,100.0,3451.0,United States,Trucks and Buses,Medium,9,99,2004,3
10245,2004-05-04,S12_1666,38,100.0,5920.4,United States,Trucks and Buses,Medium,9,69,2004,5
10258,2004-06-15,S12_1666,41,100.0,6668.24,Japan,Trucks and Buses,Medium,9,26,2004,6
10270,2004-07-19,S12_1666,28,100.0,4094.72,Australia,Trucks and Buses,Medium,9,32,2004,7
10281,2004-08-19,S12_1666,25,100.0,2938.5,United States,Trucks and Buses,Small,9,99,2004,8
10291,2004-09-08,S12_1666,41,100.0,6387.8,Sweden,Trucks and Buses,Medium,9,29,2004,9
10304,2004-10-11,S12_1666,39,100.0,6396.0,France,Trucks and Buses,Medium,9,38,2004,10
10313,2004-10-22,S12_1666,21,100.0,2669.1,Canada,Trucks and Buses,Small,9,63,2004,10
10322,2004-11-04,S12_1666,27,100.0,4784.13,United States,Trucks and Buses,Medium,9,99,2004,11
10333,2004-11-18,S12_1666,33,99.21,3273.93,United States,Trucks and Buses,Medium,9,69,2004,11
10347,2004-11-29,S12_1666,29,100.0,3586.43,Australia,Trucks and Buses,Medium,9,62,2004,11
10357,2004-12-10,S12_1666,49,100.0,5960.36,United States,Trucks and Buses,Medium,9,94,2004,12
10370,2005-01-20,S12_1666,49,100.0,8470.14,Australia,Trucks and Buses,Large,9,62,2005,1
10381,2005-02-17,S12_1666,20,100.0,2952.0,United States,Trucks and Buses,Small,9,69,2005,2
10391,2005-03-09,S12_1666,39,63.2,2464.8,Australia,Trucks and Buses,Small,9,62,2005,3
10411,2005-05-01,S12_1666,40,100.0,6232.0,Canada,Trucks and Buses,Medium,9,63,2005,5
10424,2005-05-31,S12_1666,49,100.0,7969.36,Spain,Trucks and Buses,Large,9,91,2005,5
10107,2003-02-24,S12_2823,21,100.0,3036.6,United States,Motorcycles,Medium,10,69,2003,2
10121,2003-05-07,S12_2823,50,100.0,8284.0,France,Motorcycles,Large,10,38,2003,5
10134,2003-07-01,S12_2823,20,100.0,2711.2,France,Motorcycles,Small,10,46,2003,7
10145,2003-08-25,S12_2823,49,100.0,8339.8,United States,Motorcycles,Large,10,99,2003,8
10159,2003-10-10,S12_2823,38,100.0,6238.84,United States,Motorcycles,Medium,10,69,2003,10
10169,2003-11-04,S12_2823,35,100.0,4639.25,Australia,Motorcycles,Medium,10,62,2003,11
10180,2003-11-11,S12_2823,40,100.0,6747.6,France,Motorcycles,Medium,10,12,2003,11
10189,2003-11-18,S12_2823,28,100.0,4512.48,United States,Motorcycles,Medium,10,99,2003,11
10201,2003-12-01,S12_2823,25,100.0,4029.0,United States,Motorcycles,Medium,10,69,2003,12
10211,2004-01-15,S12_2823,36,100.0,4771.8,France,Motorcycles,Medium,10,51,2004,1
10224,2004-02-21,S12_2823,43,100.0,6087.94,France,Motorcycles,Medium,10,57,2004,2
10237,2004-04-05,S12_2823,32,100.0,4193.28,United States,Motorcycles,Medium,10,99,2004,4
10251,2004-05-18,S12_2823,46,100.0,7552.28,United States,Motorcycles,Large,10,69,2004,5
10263,2004-06-28,S12_2823,48,100.0,6434.4,United States,Motorcycles,Medium,10,86,2004,6
10276,2004-08-02,S12_2823,43,100.0,5181.5,United States,Motorcycles,Medium,10,94,2004,8
10285,2004-08-27,S12_2823,49,100.0,6863.92,United States,Motorcycles,Medium,10,99,2004,8
10299,2004-09-30,S12_2823,24,100.0,4157.04,Finland,Motorcycles,Medium,10,21,2004,9
10309,2004-10-15,S12_2823,26,100.0,4660.24,Norway,Motorcycles,Medium,10,76,2004,10
10319,2004-11-03,S12_2823,30,100.0,4111.8,United States,Motorcycles,Medium,10,94,2004,11
10329,2004-11-15,S12_2823,24,100.0,3542.64,United States,Motorcycles,Medium,10,99,2004,11
10341,2004-11-24,S12_2823,55,100.0,8118.55,Austria,Motorcycles,Large,10,61,2004,11
10362,2005-01-05,S12_2823,22,100.0,3877.06,United States,Motorcycles,Medium,10,86,2005,1
10375,2005-02-03,S12_2823,49,78.92,3867.08,France,Motorcycles,Medium,10,57,2005,2
10388,2005-03-03,S12_2823,44,100.0,5951.44,United States,Motorcycles,Medium,10,99,2005,3
10403,2005-04-08,S12_2823,66,100.0,8648.64,United Kingdom,Motorcycles,Large,10,54,2005,4
10417,2005-05-13,S12_2823,21,100.0,3447.78,Spain,Motorcycles,Medium,10,29,2005,5
10104,2003-01-31,S12_3148,34,100.0,5958.5,Spain,Classic Cars,Medium,11,75,2003,1
10117,2003-04-16,S12_3148,43,100.0,5911.64,Singapore,Classic Cars,Medium,11,68,2003,4
10127,2003-06-03,S12_3148,46,100.0,7366.44,United States,Classic Cars,Large,11,69,2003,6
10142,2003-08-08,S12_3148,33,100.0,4985.64,United States,Classic Cars,Medium,11,86,2003,8
10153,2003-09-28,S12_3148,42,100.0,5393.64,Spain,Classic Cars,Medium,11,75,2003,9
10165,2003-10-22,S12_3148,34,100.0,4880.02,Singapore,Classic Cars,Medium,11,72,2003,10
10176,2003-11-06,S12_3148,47,100.0,8378.69,Italy,Classic Cars,Large,11,73,2003,11
10185,2003-11-14,S12_3148,33,100.0,4038.21,United States,Classic Cars,Medium,11,86,2003,11
10196,2003-11-26,S12_3148,24,100.0,3807.12,United States,Classic Cars,Medium,11,94,2003,11
